0.0,15.0&e4:5f:01:63:71:a3,-81.63;e4:5f:01:63:71:55,-61.86;e4:5f:01:63:71:b5,-76.88;e4:5f:01:63:71:e5,-55.72;e4:5f:01:63:71:64,-66.11
0.0,15.0&e4:5f:01:63:71:a3,-79.82;e4:5f:01:63:71:55,-60.97;e4:5f:01:63:71:b5,-75.57;e4:5f:01:63:71:e5,-55.29;e4:5f:01:63:71:64,-64.47
3.0,3.0&e4:5f:01:63:71:a3,-61.333;e4:5f:01:63:71:55,-69.285;e4:5f:01:63:71:b5,-65.0;e4:5f:01:63:71:e5,-77.2;e4:5f:01:63:71:64,-58.0
3.0,3.0&e4:5f:01:63:71:a3,-61.561;e4:5f:01:63:71:55,-70.078;e4:5f:01:63:71:b5,-65.761;e4:5f:01:63:71:e5,-77.106;e4:5f:01:63:71:64,-57.077
3.0,3.0&e4:5f:01:63:71:a3,-62.746;e4:5f:01:63:71:55,-70.471;e4:5f:01:63:71:b5,-64.885;e4:5f:01:63:71:e5,-75.319;e4:5f:01:63:71:64,-57.787
3.0,3.0&e4:5f:01:63:71:a3,-64.061;e4:5f:01:63:71:55,-70.013;e4:5f:01:63:71:b5,-66.473;e4:5f:01:63:71:e5,-73.95;e4:5f:01:63:71:64,-57.392
3.0,3.0&e4:5f:01:63:71:a3,-63.475;e4:5f:01:63:71:55,-70.207;e4:5f:01:63:71:b5,-67.814;e4:5f:01:63:71:e5,-72.757;e4:5f:01:63:71:64,-57.908
3.0,3.0&e4:5f:01:63:71:a3,-63.24;e4:5f:01:63:71:55,-70.096;e4:5f:01:63:71:b5,-68.872;e4:5f:01:63:71:e5,-74.068;e4:5f:01:63:71:64,-59.989
3.0,3.0&e4:5f:01:63:71:a3,-63.11;e4:5f:01:63:71:55,-68.907;e4:5f:01:63:71:b5,-68.219;e4:5f:01:63:71:e5,-75.935;e4:5f:01:63:71:64,-60.555
3.0,3.0&e4:5f:01:63:71:a3,-63.42;e4:5f:01:63:71:55,-70.723;e4:5f:01:63:71:b5,-69.628;e4:5f:01:63:71:e5,-77.196;e4:5f:01:63:71:64,-59.987
3.0,3.0&e4:5f:01:63:71:a3,-62.31;e4:5f:01:63:71:55,-71.808;e4:5f:01:63:71:b5,-66.716;e4:5f:01:63:71:e5,-77.372;e4:5f:01:63:71:64,-61.247
