e4:5f:01:63:71:64>7.5,5;e4:5f:01:63:71:e5>0,10;e4:5f:01:63:71:55>15,0;e4:5f:01:63:71:b5>15,10;e4:5f:01:63:71:a3>0,0
0,10&e4:5f:01:63:71:e5,-54;-53;-53;-53;-53;-53;-54;-54;-55;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-68;-69
2,0&e4:5f:01:63:71:e5,-96;-95;-98
2,2&e4:5f:01:63:71:e5,-91;-90;-87;-88;-90;-86;-87;-86;-87;-92;-91;-90;-89;-90;-89;-91;-91;-92;-92;-93;-94;-93
2,4&e4:5f:01:63:71:e5,-78;-79;-80;-82;-82;-81;-81
2,6&e4:5f:01:63:71:e5,-79;-77;-78;-78;-78;-79;-77;-77;-78;-77;-79;-78;-79;-82;-81;-81;-83
2,8&e4:5f:01:63:71:e5,-71;-67;-68;-69;-69;-69;-70;-69;-69;-70;-70;-70;-70;-70;-70;-70;-68;-68;-68
2,10&e4:5f:01:63:71:e5,-59;-64;-68;-67;-67;-68;-68;-68;-68;-68;-68;-68;-67;-67;-67;-67;-67;-67;-67;-68;-68;-68;-68;-69;-69;-70;-70;-70;-70;-70;-69;-69
4,0&e4:5f:01:63:71:e5,-91;-92;-91;-89;-90;-90;-91;-92;-91;-91;-91;-91;-91;-92;-92;-92;-93;-93;-92;-92;-92;-91;-92;-94;-95;-99;-101;-95
4,2&e4:5f:01:63:71:e5,-90;-89;-88;-88;-89;-90;-90;-90;-89;-90;-90;-90;-93;-92;-91;-92;-91;-91;-88;-89;-88
4,4&e4:5f:01:63:71:e5,-81;-82;-82;-81;-80;-80;-80;-81;-82;-82;-83;-84;-85;-85;-84;-85;-84;-84;-83;-82;-81;-81;-81;-82;-81;-81
4,6&e4:5f:01:63:71:e5,-79;-76;-76;-76;-76;-76;-76;-77;-76;-77;-77
4,8&e4:5f:01:63:71:e5,-74;-74;-73;-77;-73;-75;-74;-74;-74;-72;-71;-71;-71;-71;-71
4,10&e4:5f:01:63:71:e5,-69;-69;-71;-70;-71;-71;-71;-72;-72;-71;-70;-70;-70
6,0&e4:5f:01:63:71:e5,-92;-89;-90;-93;-88;-91;-92;-90;-91;-90;-89;-90;-90;-90;-89;-91;-92;-93;-93
